,ISU_CD,ISU_SRT_CD,ISU_NM,ISU_ABBRV,ISU_ENG_NM,LIST_DD,ETF_OBJ_IDX_NM,IDX_CALC_INST_NM1,IDX_CALC_INST_NM2,ETF_REPLICA_METHD_TP_CD,IDX_MKT_CLSS_NM,IDX_ASST_CLSS_NM,LIST_SHRS,COM_ABBRV,CU_QTY,ETF_TOT_FEE,TAX_TP_CD
12,KR7290080001,290080,KB KBSTAR 200고배당커버드콜ATM증권상장지수투자신탁(주식-파생형),KBSTAR 200고배당커버드콜ATM,KB KBSTAR 200 High Dividend Covered Call ATM ETF,2018/02/27,코스피 200 고배당커버드콜 ATM 지수(시장가격지수),KRX,일반,실물(패시브),국내,주식,"1,100,000",케이비자산운용,"50,000",0.400000,배당소득세(보유기간과세)
13,KR7284980000,284980,KB KBSTAR 200금융증권상장지수투자신탁(주식),KBSTAR 200금융,KB KBSTAR 200 Financials ETF,2017/12/08,코스피 200 금융,KRX,일반,실물(패시브),국내,주식,"300,000",케이비자산운용,"20,000",0.190000,비과세
14,KR7287320006,287320,KB KBSTAR 200산업재증권상장지수투자신탁(주식),KBSTAR 200산업재,KB KBSTAR 200 Industrials ETF,2017/12/22,코스피 200 산업재,KRX,일반,실물(패시브),국내,주식,"80,000",케이비자산운용,"20,000",0.190000,비과세
15,KR7287330005,287330,KB KBSTAR 200생활소비재증권상장지수투자신탁(주식),KBSTAR 200생활소비재,KB KBSTAR 200 Consumer Staples ETF,2017/12/22,코스피 200 생활소비재,KRX,일반,실물(패시브),국내,주식,"220,000",케이비자산운용,"20,000",0.190000,비과세
16,KR7252400007,252400,KB KBSTAR 200선물레버리지증권상장지수투자신탁(주식-파생형),KBSTAR 200선물레버리지,KB KBSTAR 200 Futures Leverage ETF,2016/09/12,코스피 200 선물지수,KRX,2X 레버리지,실물(패시브),국내,주식,"1,200,000",케이비자산운용,"100,000",0.600000,배당소득세(보유기간과세)
17,KR7252420005,252420,KB KBSTAR 200선물인버스2X증권상장지수투자신탁(주식-파생형),KBSTAR 200선물인버스2X,KB KBSTAR 200 Futures Inverse 2X ETF,2016/09/22,코스피 200 선물지수,KRX,2X 인버스,실물(패시브),국내,주식,"8,800,000",케이비자산운용,"100,000",0.600000,배당소득세(보유기간과세)
18,KR7252410006,252410,KB KBSTAR 200선물인버스증권상장지수투자신탁(주식-파생형),KBSTAR 200선물인버스,KB KBSTAR 200 Futures Inverse ETF,2016/09/12,코스피 200 선물지수,KRX,1X 인버스,실물(패시브),국내,주식,"2,600,000",케이비자산운용,"100,000",0.600000,배당소득세(보유기간과세)
19,KR7284990009,284990,KB KBSTAR 200에너지화학증권상장지수투자신탁(주식),KBSTAR 200에너지화학,KB KBSTAR 200 Energy & Chemicals ETF,2017/12/08,코스피 200 에너지/화학,KRX,일반,실물(패시브),국내,주식,"460,000",케이비자산운용,"20,000",0.190000,비과세
20,KR7285010005,285010,KB KBSTAR 200중공업증권상장지수투자신탁(주식),KBSTAR 200중공업,KB KBSTAR 200 Heavy Industries ETF,2017/12/08,코스피 200 중공업,KRX,일반,실물(패시브),국내,주식,"380,000",케이비자산운용,"20,000",0.190000,비과세
21,KR7148020001,148020,KB KBSTAR 200증권상장지수투자신탁(주식),KBSTAR 200,KB KBSTAR 200 Securities ETF(Equity),2011/10/20,코스피 200,KRX,일반,실물(패시브),국내,주식,"34,850,000",케이비자산운용,"50,000",0.017000,비과세
22,KR7285020004,285020,KB KBSTAR 200철강소재증권상장지수투자신탁(주식),KBSTAR 200철강소재,KB KBSTAR 200 Steels & Materials ETF,2017/12/08,코스피 200 철강/소재,KRX,일반,실물(패시브),국내,주식,"420,000",케이비자산운용,"20,000",0.190000,비과세
23,KR7315480004,315480,KB KBSTAR 200커뮤니케이션서비스증권상장지수투자신탁(주식),KBSTAR 200커뮤니케이션서비스,KB KBSTAR 200Communication Service ETF,2019/01/15,코스피 200 커뮤니케이션서비스,KRX,일반,실물(패시브),국내,주식,"120,000",케이비자산운용,"20,000",0.190000,비과세
24,KR7464540004,464540,KB KBSTAR 25-03 회사채(AA-이상)액티브증권상장지수투자신탁(채권),KBSTAR 25-03 회사채(AA-이상)액티브,KB KBSTAR Mar2025 Term Credit ETF,2023/08/17,KIS 2025년 3월 만기도래 크레딧 종합채권지수(AA-이상)(시장가격),KIS자산평가,일반,실물(액티브),국내,채권,"3,298,000",케이비자산운용,"2,000",0.050000,배당소득세(보유기간과세)
25,KR7448600007,448600,KB KBSTAR 25-11 회사채(AA-이상)액티브증권상장지수투자신탁(채권),KBSTAR 25-11 회사채(AA-이상)액티브,KB KBSTAR Nov2025 Term Credit ETF,2022/11/22,KIS 2025년 만기도래 크레딧 종합채권 지수(AA-이상)(시장가격),KIS자산평가,일반,실물(액티브),국내,채권,"2,676,000",케이비자산운용,"2,000",0.070000,배당소득세(보유기간과세)
26,KR7465330009,465330,KB KBSTAR 2차전지TOP10 iSelect증권상장지수투자신탁(주식),KBSTAR 2차전지TOP10,KB KBSTAR Secondary Cell TOP10 ETF,2023/09/12,iSelect 2차전지 TOP10 지수(PR),NH투자증권,일반,실물(패시브),국내,주식,"2,000,000",케이비자산운용,"25,000",0.070000,비과세
27,KR7465350007,465350,KB KBSTAR 2차전지TOP10인버스iSelect증권상장지수투자신탁(주식-파생형)(합성),KBSTAR 2차전지TOP10인버스(합성),KB KBSTAR Secondary Cell TOP10 Inverse ETF(SYNTH),2023/09/12,iSelect 2차전지 TOP10 지수(PR),NH투자증권,1X 인버스,합성(패시브),국내,주식,"6,275,000",케이비자산운용,"25,000",0.490000,배당소득세(보유기간과세)
28,KR7422420000,422420,KB KBSTAR 2차전지액티브증권상장지수투자신탁(주식),KBSTAR 2차전지액티브,KB KBSTAR Secondary Cell Active ETF,2022/04/08,iSelect 2차전지 지수 (시장가격지수),NH투자증권,일반,실물(액티브),국내,주식,"12,040,000",케이비자산운용,"20,000",0.350000,배당소득세(보유기간과세)
29,KR7105780001,105780,KB KBSTAR 5대그룹주증권상장지수투자신탁(주식),KBSTAR 5대그룹주,KB KBSTAR Top5 Group ETF,2008/10/22,MKF 5대그룹주,FnGuide,일반,실물(패시브),국내,주식,"1,000,000",케이비자산운용,"200,000",0.400000,비과세
30,KR7469070007,469070,KB KBSTAR AI&로봇증권상장지수투자신탁(주식),KBSTAR AI&로봇,KB KBSTAR AI&Robotics ETF,2023/10/24,iSelect AI&로봇 지수(시장가격),NH투자증권,일반,실물(패시브),국내,주식,"1,750,000",케이비자산운용,"50,000",0.400000,비과세
31,KR7290130004,290130,KB KBSTAR ESG사회책임투자증권상장지수투자신탁(주식),KBSTAR ESG사회책임투자,KB KBSTAR ESG SRI ETF,2018/02/27,KRX ESG 사회책임경영지수(S),KRX,일반,실물(패시브),국내,주식,"20,300,000",케이비자산운용,"50,000",0.300000,비과세
32,KR7368200002,368200,KB KBSTAR Fn K-뉴딜디지털플러스증권상장지수투자신탁(주식),KBSTAR Fn K-뉴딜디지털플러스,KB KBSTAR Fn K-NewDeal Digital Plus ETF,2020/11/10,FnGuide K-뉴딜 디지털 플러스 지수,FnGuide,일반,실물(패시브),국내,주식,"500,000",케이비자산운용,"50,000",0.090000,비과세
33,KR7367760006,367760,KB KBSTAR Fn5G테크증권상장지수투자신탁(주식),KBSTAR Fn5G테크,KB KBSTAR Fn5G Tech ETF,2020/10/29,FnGuide 5G 테크 지수,FnGuide,일반,실물(패시브),국내,주식,"9,550,000",케이비자산운용,"50,000",0.450000,비과세
34,KR7367770005,367770,KB KBSTAR Fn수소경제테마증권상장지수투자신탁(주식),KBSTAR Fn수소경제테마,KB KBSTAR Fn Hydrogen Economy ETF,2020/10/29,FnGuide 수소 경제 테마 지수,FnGuide,일반,실물(패시브),국내,주식,"26,150,000",케이비자산운용,"50,000",0.450000,비과세
35,KR7427110002,427110,KB KBSTAR Fn창업투자회사증권상장지수투자신탁(주식),KBSTAR Fn창업투자회사,KB KBSTAR Venture Capital Company ETF,2022/05/17,FnGuide 창업투자회사 지수(시장가격지수),FnGuide,일반,실물(패시브),국내,주식,"660,000",케이비자산운용,"20,000",0.450000,비과세
36,KR7388280000,388280,KB KBSTAR Fn컨택트대표 증권상장지수투자신탁(주식),KBSTAR Fn컨택트대표,KB KBSTAR Contact Leader ETF,2021/06/10,FnGuide 컨택트대표 지수(시장가격지수),FnGuide,일반,실물(패시브),국내,주식,"6,200,000",케이비자산운용,"20,000",0.450000,비과세
37,KR7427120001,427120,KB KBSTAR Fn플랫폼테마증권상장지수투자신탁(주식),KBSTAR Fn플랫폼테마,KB KBSTAR Platform Theme ETF,2022/05/17,FnGuide 플랫폼테마 지수(시장가격지수),FnGuide,일반,실물(패시브),국내,주식,"500,000",케이비자산운용,"20,000",0.450000,비과세
38,KR7326240009,326240,KB KBSTAR IT플러스증권상장지수투자신탁(주식),KBSTAR IT플러스,KB KBSTAR IT Plus ETF,2019/06/20,FnGuide IT플러스 지수,FnGuide,일반,실물(패시브),국내,주식,"9,400,000",케이비자산운용,"20,000",0.400000,비과세
39,KR7385560008,385560,KB KBSTAR KIS국고채30년Enhanced증권상장지수투자신탁(채권),KBSTAR KIS국고채30년Enhanced,KB KBSTAR 30-Years Treasury Bond Enhanced ETF,2021/05/26,KIS 국고채30년Enhanced지수(시장가격),KIS자산평가,일반,실물(패시브),국내,채권,"5,390,000",케이비자산운용,"10,000",0.050000,배당소득세(보유기간과세)
40,KR7469580005,469580,KB KBSTAR KP달러채권액티브증권상장지수투자신탁(채권),KBSTAR KP달러채권액티브,KB KBSTAR USD Korean Paper Active ETF,2023/11/09,KIS KP 달러채권 지수(총수익 지수),KIS자산평가,일반,실물(액티브),해외,채권,"1,062,000",케이비자산운용,"2,000",0.090000,배당소득세(보유기간과세)
41,KR7270800006,270800,KB KBSTAR KQ고배당증권상장지수투자신탁(주식),KBSTAR KQ고배당,KB KBSTAR KQ High Dividend ETF,2017/07/07,FnGuide KQ고배당포커스 지수,FnGuide,일반,실물(패시브),국내,주식,"600,000",케이비자산운용,"50,000",0.300000,비과세
42,KR7307010009,307010,KB KBSTAR KRX300레버리지증권상장지수투자신탁(주식-파생형),KBSTAR KRX300레버리지,KB KBSTAR KRX300 Leverage ETF,2018/10/16,KRX 300,KRX,2X 레버리지,실물(패시브),국내,주식,"600,000",케이비자산운용,"100,000",0.550000,배당소득세(보유기간과세)
43,KR7319870002,319870,KB KBSTAR KRX300미국달러선물혼합자산상장지수투자신탁(혼합-파생형),KBSTAR KRX300미국달러선물혼합,KB KBSTAR KRX300 USD Futures Balanced ETF,2019/03/19,KRX 300 미국달러 선물혼합지수,KRX,일반,실물(패시브),국내,주식,"500,000",케이비자산운용,"50,000",0.300000,배당소득세(보유기간과세)
44,KR7292050002,292050,KB KBSTAR KRX300증권상장지수투자신탁(주식),KBSTAR KRX300,KB KBSTAR KRX300 ETF,2018/03/26,KRX 300,KRX,일반,실물(패시브),국내,주식,"600,000",케이비자산운용,"50,000",0.050000,비과세
45,KR7403990005,403990,KB KBSTAR KRX기후변화솔루션증권상장지수투자신탁(주식),KBSTAR KRX기후변화솔루션,KB KBSTAR KRX Climate Change Solutions ETF,2021/10/29,KRX 기후변화 솔루션지수,KRX,일반,실물(패시브),국내,주식,"550,000",케이비자산운용,"50,000",0.300000,비과세
46,KR7442550000,442550,KB KBSTAR TDF2030액티브증권상장지수투자신탁(혼합-재간접형),KBSTAR TDF2030액티브,KB KBSTAR TDF2030 Active ETF,2022/09/22,iSelect 전략적자산배분 TDF 2030 지수,NH투자증권,일반,실물(액티브),국내&해외,기타,"500,000",케이비자산운용,"50,000",0.180000,배당소득세(보유기간과세)
47,KR7442560009,442560,KB KBSTAR TDF2040액티브증권상장지수투자신탁(혼합-재간접형),KBSTAR TDF2040액티브,KB KBSTAR TDF2040 Active ETF,2022/09/22,iSelect 전략적자산배분 TDF 2040 지수,NH투자증권,일반,실물(액티브),국내&해외,기타,"500,000",케이비자산운용,"50,000",0.180000,배당소득세(보유기간과세)
48,KR7442570008,442570,KB KBSTAR TDF2050액티브증권상장지수투자신탁(혼합-재간접형),KBSTAR TDF2050액티브,KB KBSTAR TDF2050 Active ETF,2022/09/22,iSelect 전략적자산배분 TDF 2050 지수,NH투자증권,일반,실물(액티브),국내&해외,기타,"500,000",케이비자산운용,"50,000",0.180000,배당소득세(보유기간과세)
49,KR7234310001,234310,KB KBSTAR V&S셀렉트밸류증권상장지수투자신탁(주식),KBSTAR V&S셀렉트밸류,KB KBSTAR V&S Select Value ETF,2016/02/02,FnGuide 셀렉트 밸류 지수,FnGuide,일반,실물(패시브),국내,주식,"500,000",케이비자산운용,"100,000",0.300000,비과세
50,KR7241390004,241390,KB KBSTAR V&S셀렉트밸류채권혼합증권상장지수투자신탁(채권혼합),KBSTAR V&S셀렉트밸류채권혼합,KB KBSTAR V&S Select Value Fixed Income Balanced,2016/04/12,FnGuide 셀렉트벨류 채권혼합지수,FnGuide,일반,실물(패시브),국내,혼합자산,"1,200,000",케이비자산운용,"200,000",0.230000,배당소득세(보유기간과세)
51,KR7401170006,401170,KB KBSTAR iSelect메타버스증권상장지수투자신탁(주식),KBSTAR iSelect메타버스,KB KBSTAR iSelect METAVERSE ETF,2021/10/13,iSelect 메타버스 지수(시장가격지수),NH투자증권,일반,실물(패시브),국내,주식,"19,620,000",케이비자산운용,"20,000",0.450000,비과세
52,KR7300640000,300640,KB KBSTAR 게임테마증권상장지수투자신탁(주식),KBSTAR 게임테마,KB KBSTAR Game Industry ETF,2018/07/24,WISE 게임 테마 지수 (시장가격지수),WiseFn,일반,실물(패시브),국내,주식,"4,600,000",케이비자산운용,"50,000",0.300000,비과세
53,KR7266160001,266160,KB KBSTAR 고배당증권상장지수투자신탁(주식),KBSTAR 고배당,KB KBSTAR High Dividend ETF,2017/04/14,FnGuide 고배당포커스 지수,FnGuide,일반,실물(패시브),국내,주식,"4,450,000",케이비자산운용,"50,000",0.200000,비과세
54,KR7282000009,282000,KB KBSTAR 국고채3년선물인버스증권상장지수투자신탁(채권-파생형),KBSTAR 국고채3년선물인버스,KB KBSTAR KTB 3Y Futurues Inverse ETF,2017/11/09,국채선물지수,KRX,1X 인버스,실물(패시브),국내,채권,"471,000",케이비자산운용,"1,000",0.070000,배당소득세(보유기간과세)
55,KR7114100001,114100,KB KBSTAR 국고채3년증권상장지수투자신탁(채권),KBSTAR 국고채3년,KB KBSTAR KTB ETF(Bond),2009/07/29,KTB INDEX(시장가격),KRX,일반,실물(패시브),국내,채권,"215,000",케이비자산운용,"1,000",0.115000,배당소득세(보유기간과세)
56,KR7451670004,451670,KB KBSTAR 국채30년레버리지KAP증권상장지수투자신탁(채권-파생형)(합성),KBSTAR 국채30년레버리지KAP(합성),KB KBSTAR KTB 30Y Leverage (SYNTH) ETF,2023/02/14,KAP 국채30년 TR 지수(총수익),한국자산평가(KAP),2X 레버리지,합성(패시브),국내,채권,"525,000",케이비자산운용,"25,000",0.100000,배당소득세(보유기간과세)
57,KR7295020002,295020,KB KBSTAR 국채선물10년인버스증권상장지수투자신탁(채권-파생형),KBSTAR 국채선물10년인버스,KB KBSTAR KTB 10Y Futures Inverse ETF,2018/05/11,10년국채선물지수,KRX,1X 인버스,실물(패시브),국내,채권,"144,000",케이비자산운용,"2,000",0.070000,배당소득세(보유기간과세)
58,KR7295000004,295000,KB KBSTAR 국채선물10년증권상장지수투자신탁(채권-파생형),KBSTAR 국채선물10년,KB KBSTAR KTB 10Y Futures ETF,2018/05/11,10년국채선물지수,KRX,일반,실물(패시브),국내,채권,"76,000",케이비자산운용,"2,000",0.070000,배당소득세(보유기간과세)
59,KR7432600005,432600,KB KBSTAR 국채선물3년증권상장지수투자신탁(채권-파생형),KBSTAR 국채선물3년,KB KBSTAR KTB 3Y Futures ETF,2022/06/14,국채선물지수,KRX,일반,실물(패시브),국내,채권,"146,000",케이비자산운용,"2,000",0.070000,배당소득세(보유기간과세)
60,KR7397410002,397410,KB KBSTAR 국채선물5년추종인버스증권상장지수투자신탁(채권-파생형),KBSTAR 국채선물5년추종인버스,KB KBSTAR FKTB 5Y Duration Following Inverse ETF,2021/08/31,5년 국채선물 추종 지수,KRX,1X 인버스,실물(패시브),국내,채권,"558,000",케이비자산운용,"6,000",0.070000,배당소득세(보유기간과세)
61,KR7397420001,397420,KB KBSTAR 국채선물5년추종증권상장지수투자신탁(채권-파생형),KBSTAR 국채선물5년추종,KB KBSTAR FKTB 5Y Duration Following ETF,2021/08/31,5년 국채선물 추종 지수,KRX,일반,실물(패시브),국내,채권,"66,000",케이비자산운용,"6,000",0.070000,배당소득세(보유기간과세)
62,KR7276650009,276650,KB KBSTAR 글로벌4차산업IT증권상장지수투자신탁(주식-파생형)(합성 H),KBSTAR 글로벌4차산업IT(합성 H),KB KBSTAR Global 4th Industry Revolution IT ETF(SYNTH H),2017/08/17,S&P Global 1200 Information Technology and Interactive Media & Services(PR),S&P,일반,합성(패시브),국내&해외,주식,"1,150,000",케이비자산운용,"50,000",0.400000,배당소득세(보유기간과세)
63,KR7437370000,437370,KB KBSTAR 글로벌농업경제MV증권상장지수투자신탁(주식),KBSTAR 글로벌농업경제MV,KB KBSTAR Global Agribusiness MV ETF,2022/07/29,MVIS Global Agribusiness Index(Price Return),MVIS,일반,실물(패시브),해외,주식,"700,000",케이비자산운용,"50,000",0.400000,배당소득세(보유기간과세)
64,KR7375270006,375270,KB KBSTAR 글로벌데이터센터리츠나스닥부동산상장지수투자신탁(파생형)(합성),KBSTAR 글로벌데이터센터리츠나스닥(합성),KB KBSTAR Global Data Center REITs Nasdaq ETF(SYNTH),2021/01/14,Kelly Data Center & Tech Infrastructure Net Total Return Index,NASDAQ,일반,합성(패시브),해외,부동산,"500,000",케이비자산운용,"50,000",0.400000,배당소득세(보유기간과세)
65,KR7411720006,411720,KB KBSTAR 글로벌메타버스Moorgate증권상장지수투자신탁(주식),KBSTAR 글로벌메타버스Moorgate,KB KBSTAR Global Metaverse Moorgate ETF,2021/12/22,Global Metaverse Index(Price Return),Moorgate,일반,실물(패시브),해외,주식,"1,450,000",케이비자산운용,"50,000",0.500000,배당소득세(보유기간과세)
66,KR7417450004,417450,KB KBSTAR 글로벌수소경제Indxx증권상장지수투자신탁(주식),KBSTAR 글로벌수소경제Indxx,KB KBSTAR Global Hydrogen Economy Indxx ETF,2022/02/15,Indxx Hydrogen Economy Index (Net Total Return),Indxx,일반,실물(패시브),해외,주식,"950,000",케이비자산운용,"50,000",0.400000,배당소득세(보유기간과세)
67,KR7442320008,442320,KB KBSTAR 글로벌원자력iSelect증권상장지수투자신탁(주식),KBSTAR 글로벌원자력iSelect,KB KBSTAR Global Nuclear Power ETF,2022/10/13,iSelect 글로벌원자력 지수(시장가격),NH투자증권,일반,실물(패시브),해외,주식,"350,000",케이비자산운용,"50,000",0.400000,배당소득세(보유기간과세)
68,KR7461490005,461490,KB KBSTAR 글로벌자산배분액티브 증권상장지수투자신탁(혼합-재간접형),KBSTAR 글로벌자산배분액티브,KB KBSTAR Global Multi-Asset Allocation Active ETF,2023/06/27,Bloomberg Multi-Asset Weighted (KRW ETFs) 지수(시장가격),Bloomberg,일반,실물(액티브),해외,혼합자산,"600,000",케이비자산운용,"50,000",0.200000,배당소득세(보유기간과세)
69,KR7459750006,459750,KB KBSTAR 글로벌주식분산액티브증권상장지수투자신탁(주식-재간접형),KBSTAR 글로벌주식분산액티브,KB KBSTAR Global Equity Allocation Active ETF,2023/06/27,Bloomberg Global Equity Market Weighted Index(Price Return),Bloomberg,일반,실물(액티브),해외,주식,"700,000",케이비자산운용,"50,000",0.200000,배당소득세(보유기간과세)
70,KR7399580000,399580,KB KBSTAR 글로벌클린에너지S&P증권상장지수투자신탁(주식),KBSTAR 글로벌클린에너지S&P,KB KBSTAR Global Clean Energy S&P ETF,2021/10/21,S&P Global Clean Energy Index (Price Return),S&P,일반,실물(패시브),해외,주식,"1,300,000",케이비자산운용,"100,000",0.400000,배당소득세(보유기간과세)
71,KR7336160007,336160,KB KBSTAR 금융채액티브증권상장지수투자신탁(채권),KBSTAR 금융채액티브,KB KBSTAR Financials Bond Active ETF,2019/10/29,KIS 종합채권금융채 2.5Y-3Y 지수 (총수익),KIS자산평가,일반,실물(액티브),국내,채권,"413,000",케이비자산운용,"1,000",0.070000,배당소득세(보유기간과세)
72,KR7326230000,326230,KB KBSTAR 내수주플러스증권상장지수투자신탁(주식),KBSTAR 내수주플러스,KB KBSTAR Domestic Consumption Plus ETF,2019/06/20,FnGuide 내수주플러스 지수,FnGuide,일반,실물(패시브),국내,주식,"3,340,000",케이비자산운용,"20,000",0.400000,비과세
73,KR7272560004,272560,KB KBSTAR 단기국공채액티브증권상장지수투자신탁(채권),KBSTAR 단기국공채액티브,KB KBSTAR Short-term KTB Active ETF,2017/06/29,KIS 종합채권국공채3M~1.5Y지수,KIS자산평가,일반,실물(액티브),국내,채권,"1,640,000",케이비자산운용,"1,000",0.070000,배당소득세(보유기간과세)
74,KR7385550009,385550,KB KBSTAR 단기종합채권(AA-이상)액티브증권상장지수투자신탁(채권),KBSTAR 단기종합채권(AA-이상)액티브,KB KBSTAR Active Korea Short Term Bond Market(AA-) ETF,2021/05/26,KIS 단기종합채권지수(AA-이상)(총수익지수),KIS자산평가,일반,실물(액티브),국내,채권,"1,874,000",케이비자산운용,"1,000",0.050000,배당소득세(보유기간과세)
75,KR7196230007,196230,KB KBSTAR 단기통안채증권상장지수투자신탁(채권),KBSTAR 단기통안채,KB KBSTAR Short-Term MSB ETF,2014/05/19,KIS 통안채 5개월 지수(총수익),KIS자산평가,일반,실물(패시브),국내,채권,"4,183,000",케이비자산운용,"1,000",0.130000,배당소득세(보유기간과세)
76,KR7315960005,315960,KB KBSTAR 대형고배당10Total Return증권상장지수투자신탁(주식),KBSTAR 대형고배당10TR,KB KBSTAR Large Cap High Dividend10TR ETF,2019/01/22,WISE 대형고배당10 TR 지수,WiseFn,일반,실물(패시브),국내,주식,"5,550,000",케이비자산운용,"50,000",0.150000,배당소득세(보유기간과세)
77,KR7455890004,455890,KB KBSTAR 머니마켓액티브증권상장지수투자신탁(채권),KBSTAR 머니마켓액티브,KB KBSTAR Money Market Active ETF,2023/05/09,KIS 시가평가 MMF 지수 (총수익지수),KIS자산평가,일반,실물(액티브),국내,채권,"32,444,000",케이비자산운용,"2,000",0.050000,배당소득세(보유기간과세)
78,KR7252730007,252730,KB KBSTAR 모멘텀로우볼증권상장지수투자신탁(주식),KBSTAR 모멘텀로우볼,KB KBSTAR Momentum LowVol ETF,2016/10/14,FnGuide 모멘텀&로우볼 지수,FnGuide,일반,실물(패시브),국내,주식,"150,000",케이비자산운용,"50,000",0.350000,비과세
79,KR7252720008,252720,KB KBSTAR 모멘텀밸류증권상장지수투자신탁(주식),KBSTAR 모멘텀밸류,KB KBSTAR Momentum Value ETF,2016/10/14,FnGuide 모멘텀&밸류 지수,FnGuide,일반,실물(패시브),국내,주식,"150,000",케이비자산운용,"50,000",0.350000,비과세
80,KR7379780000,379780,KB KBSTAR 미국S&P500증권상장지수투자신탁(주식),KBSTAR 미국S&P500,KB KBSTAR S&P500 ETF,2021/04/09,S&P 500,S&P,일반,실물(패시브),해외,주식,"18,500,000",케이비자산운용,"100,000",0.021000,배당소득세(보유기간과세)
81,KR7453330003,453330,KB KBSTAR 미국S&P500증권상장지수투자신탁(주식)(H),KBSTAR 미국S&P500(H),KB KBSTAR S&P500 ETF(H),2023/03/21,S&P 500,S&P,일반,실물(패시브),해외,주식,"1,700,000",케이비자산운용,"100,000",0.021000,배당소득세(보유기간과세)
